run,epoch,train_loss,train_acc,train_precision,train_time,train_mem_mb,val_loss,val_acc,val_precision,val_time,val_mem_mb
25%,1,0.23113153364136815,0.9032,0.9007444168734491,31.07123637199402,2559.859375,0.190636318475008,0.931,0.9200779727095516,15.742486000061035,942.73779296875
25%,2,0.10309334969818593,0.9568,0.9561621174524401,32.06140875816345,2559.859375,0.16946119937300683,0.9405,0.9612565445026178,15.99562692642212,942.73779296875
25%,3,0.05561261090543121,0.9784,0.9808811305070657,31.590014934539795,2559.859375,0.1885324500501156,0.94,0.9313725490196079,15.9252347946167,942.73779296875
25%,4,0.02431243234348949,0.9916,0.990924092409241,31.803590774536133,2559.859375,0.19994542802870274,0.947,0.9589322381930184,15.94937801361084,942.73779296875
25%,5,0.01900223154835403,0.9948,0.9934102141680395,31.709233283996582,2559.859375,0.21720978885889053,0.945,0.9476861167002012,15.958870649337769,942.73779296875
25%,6,0.009403004053980112,0.9972,0.9983443708609272,31.710628747940063,2559.859375,0.2258701598457992,0.9415,0.9464105156723963,15.946328163146973,942.73779296875
25%,7,0.01008790066689253,0.9956,0.9942339373970346,31.68921709060669,2559.859375,0.25810910521820185,0.9395,0.930460333006856,16.017030715942383,942.73779296875
25%,8,0.010802460473880638,0.9968,0.9966969446738233,31.700111389160156,2559.859375,0.3119710730612278,0.931,0.9066037735849056,16.718314170837402,942.73779296875
25%,9,0.015890841965714934,0.9948,0.9958609271523179,32.91482710838318,2559.859375,0.3038631587587297,0.932,0.9029850746268657,24.708854913711548,942.73779296875
25%,10,0.021180614162608982,0.9936,0.9950289975144988,32.946070432662964,2559.859375,0.2355295701790601,0.9385,0.933728981206726,15.927233695983887,942.73779296875
50%,1,0.20418741429150106,0.9172,0.9232053422370617,63.44153666496277,2560.609375,0.14452172601222993,0.944,0.9549180327868853,15.968172073364258,942.73779296875
50%,2,0.10410738263726234,0.9588,0.959703947368421,63.45432448387146,2560.609375,0.1493879278898239,0.942,0.9241842610364683,15.970449447631836,942.73779296875
50%,3,0.06181314755529165,0.9778,0.9786447638603696,63.35249137878418,2560.609375,0.1608886615894735,0.9445,0.9345063538611925,15.975346326828003,942.73779296875
50%,4,0.037560305330716075,0.986,0.986863711001642,64.42996072769165,2560.609375,0.1873727960214019,0.9445,0.9336585365853659,16.222610235214233,942.73779296875
50%,5,0.01872449410930276,0.9946,0.9938650306748467,63.36544585227966,2560.609375,0.20954161980189384,0.9465,0.9381746810598626,15.973585605621338,942.73779296875
50%,6,0.019178921868652107,0.9922,0.993429158110883,63.70093607902527,2560.609375,0.18033988477289678,0.95,0.9554655870445344,15.983219385147095,942.73779296875
50%,7,0.0301662455140613,0.9894,0.9881487535758071,63.813072681427,2560.609375,0.26665688591450454,0.9425,0.9846659364731654,16.14760160446167,942.73779296875
50%,8,0.01860525895226747,0.9936,0.9942575881870386,63.39483952522278,2560.609375,0.20465752938389778,0.948,0.9349514563106797,16.942887783050537,942.73779296875
50%,9,0.006241177871462424,0.9984,0.9991796554552912,63.51772999763489,2560.609375,0.21915669504925608,0.9475,0.9515640766902119,15.952345848083496,942.73779296875
50%,10,0.003991180423550577,0.9988,0.9987714987714987,63.392531394958496,2560.609375,0.24384951043128966,0.946,0.9714587737843552,16.02523183822632,942.73779296875
100%,1,0.1701955578327179,0.9343,0.9368336350834842,127.252849817276,2559.859375,0.13009632590413095,0.9485,0.9638055842812823,15.963905334472656,942.73779296875
100%,2,0.09270769406557083,0.9658,0.9676706827309237,127.63893032073975,2559.859375,0.14356273708492517,0.946,0.9263862332695985,16.484156370162964,942.73779296875
100%,3,0.0620606720559299,0.9758,0.9750399361022364,127.08493256568909,2559.859375,0.19244757729768752,0.936,0.9014732965009208,16.256002187728882,942.73779296875
100%,4,0.04372753308787942,0.9836,0.9841810172206648,128.18683862686157,2559.859375,0.145098860129714,0.95,0.9610655737704918,15.963557481765747,942.73779296875
100%,5,0.025459552370011806,0.9905,0.9904019196160768,127.43534588813782,2559.859375,0.1536293645426631,0.9475,0.9400196656833825,15.96460747718811,942.73779296875
100%,6,0.0190191026289016,0.9932,0.9932,127.01236867904663,2559.859375,0.1829177946448326,0.9505,0.9573604060913705,16.929320573806763,942.73779296875
100%,7,0.012573606803477742,0.9956,0.9954018392642943,127.18067240715027,2559.859375,0.19885145154222847,0.9495,0.9437314906219151,15.958505868911743,942.73779296875
100%,8,0.012173962442297489,0.9956,0.9961954345214257,130.05790185928345,2559.859375,0.214134426551871,0.9515,0.9602446483180428,16.869423866271973,942.73779296875
100%,9,0.009554402623465285,0.9961,0.9967955137192069,128.7600133419037,2559.859375,0.22852801258489489,0.947,0.9434523809523809,15.97260046005249,942.73779296875
100%,10,0.006340789926212165,0.9985,0.9984003199360127,126.91516542434692,2559.859375,0.20534944766014815,0.954,0.9495049504950495,15.961116313934326,942.73779296875
