run,epoch,train_loss,train_acc,train_precision,train_f1,train_time,val_loss,val_acc,val_precision,val_f1,val_time
25%,1,0.7731937473297119,0.6096,,,2.091791868209839,1.892841199874878,0.5015,,,0.9761936664581299
25%,2,0.8894560331344604,0.6344,,,1.8848190307617188,0.9220328087806702,0.653,,,0.9652390480041504
25%,3,0.7809019691467285,0.6524,,,1.883789300918579,1.7719676856994628,0.5155,,,0.9766736030578613
25%,4,1.019844465637207,0.6492,,,1.8910646438598633,7.782772285461426,0.65,,,0.9702467918395996
25%,5,0.6924240852355957,0.7004,,,1.892564296722412,3.1292275276184083,0.6215,,,0.9698152542114258
25%,6,0.6456449913024902,0.7028,,,1.8945887088775635,2.0434976749420164,0.6695,,,0.9724764823913574
25%,7,0.7262485315322876,0.7236,,,1.8960156440734863,4.3849169216156,0.6855,,,0.9708034992218018
25%,8,0.5727828437805176,0.7548,,,1.9083106517791748,6.7974137058258055,0.653,,,0.9918522834777832
25%,9,0.7154147830963135,0.7228,,,1.9014201164245605,2.8689787464141845,0.655,,,0.9690098762512207
25%,10,0.7575983829498291,0.7344,,,1.9216597080230713,8.812269865989686,0.727,,,0.9761090278625488
50%,1,0.8780722162246705,0.6102,,,3.7988674640655518,8.460072910308838,0.683,,,0.9791977405548096
50%,2,0.6672187149524689,0.7058,,,3.8040401935577393,2.642938181877136,0.705,,,0.9968156814575195
50%,3,0.7678323551177979,0.7226,,,3.9605727195739746,16.34436700630188,0.6795,,,1.010650396347046
50%,4,0.6552362672805786,0.7448,,,3.88623046875,3.2976429510116576,0.733,,,0.9843685626983643
50%,5,0.6957982567787171,0.744,,,3.7946672439575195,1.8719865169525147,0.717,,,0.9820787906646729
50%,6,0.5707371959686279,0.7696,,,3.855452537536621,0.927876145362854,0.7375,,,0.9896714687347412
50%,7,0.5770172490596771,0.7714,,,3.829145908355713,11.987629541397094,0.6745,,,0.9837799072265625
50%,8,0.6679115988731384,0.7874,,,3.8395161628723145,1.8608659896850586,0.733,,,0.9846742153167725
50%,9,0.49801127462387085,0.812,,,3.9653632640838623,0.7431325740814209,0.7385,,,1.0263402462005615
50%,10,0.5279271703720093,0.8202,,,3.8543286323547363,1.0637497510910034,0.7285,,,1.0002198219299316
100%,1,0.7701281009674072,0.6568,,,7.771107912063599,2.6384707355499266,0.713,,,1.0024843215942383
100%,2,0.6312717935562134,0.7181,,,7.7409703731536865,0.9998578882217407,0.729,,,1.0047426223754883
100%,3,0.5770142208099365,0.7478,,,7.721542596817017,6.907462442398072,0.739,,,0.9888904094696045
100%,4,0.5328716226577759,0.7752,,,7.699957370758057,8.899512125968933,0.7315,,,0.9887208938598633
100%,5,0.5192616513252258,0.7829,,,7.7474846839904785,1.0948358302116394,0.757,,,0.9828822612762451
100%,6,0.4530336856842041,0.7976,,,7.70138144493103,1.3176685657501221,0.743,,,0.9963293075561523
100%,7,0.4216860845565796,0.8129,,,7.622929334640503,1.9204819259643555,0.7635,,,0.9855146408081055
100%,8,0.4336611542701721,0.8167,,,7.801020860671997,0.6696750512123107,0.7465,,,0.9945120811462402
100%,9,0.4111240876197815,0.8265,,,7.805296421051025,0.7330635766983032,0.736,,,0.9908359050750732
100%,10,0.3714920376777649,0.8429,,,7.815455913543701,1.0289128437042236,0.7655,,,1.0324816703796387
